,PARAMETRES,,OPTIONS,DESIGN,ECOLOGIE,BIEN-ETRE,SOCIAL,ENGAGEMENT,PRODUCTIVITE,,PRIX,Facteur Multiplicateur Prix,Durée de vie,Durée de vie ,,
0,Matière revetement int,0,tissu standard,4,2,2,2,2,3,,100,1,2,10 ans,,
,,1,tissu recyclé,4,3,2,3,3,2,,130,1,2,10 ans,,
,,2,tissu acoustique,2,1,4,2,2,4,,150,1,2,10 ans,,
,,3,tissu certifié feu,3,0,2,2,2,2,,150,1,2,10 ans,,
,,4,tissu revalorisé,1,4,2,4,4,2,,200,1,2,10 ans,,
1,Matière revetement ext,5,tissu usine,4,2,2,2,2,3,,100,1,2,10 ans,,
,,6,tissu recyclé,4,3,2,3,3,2,,130,1,2,10 ans,,https://github.com/grouille/beezz
,,7,tissu acoustique,2,1,4,2,2,4,,150,1,2,10 ans,,
,,8,tissu certifié feu,3,0,2,2,2,2,,150,1,2,10 ans,,
,,9,tissu revalorisé,1,4,2,4,4,2,,200,1,2,10 ans,,
,,10,rien,2,4,1,2,1,1,,0,1,2,10 ans,,
2,Couleur revetement,11,Nuit,3,1,4,2,3,3,,0,1,2,10 ans,,
,,12,Gris,3,2,3,2,3,1,,0,1,2,10 ans,,
,,13,Rouge,3,1,2,2,3,3,,0,1,2,10 ans,,
,,14,Vert,3,1,4,2,3,2,,0,1,2,10 ans,,
,,15,Beige,3,1,3,2,3,2,,0,1,2,10 ans,,
,,16,Noir,3,1,3,2,3,2,,0,1,2,10 ans,,
,,17,par défaut (gris),2,2,2,2,2,2,,0,1,2,10 ans,,
3,Personnalisation int,18,Logo,3,1,2,2,3,2,,200,1,2,10 ans,,
,,19,Branding complet,4,0,2,2,4,3,,1000,1,2,10 ans,,
,,20,rien,2,2,2,2,2,2,,0,1,2,10 ans,,
4,Personnalisation ext,21,Logo,3,1,2,2,3,2,,200,1,2,10 ans,,
,,22,Branding complet,4,0,2,2,4,3,,1000,1,2,10 ans,,
,,23,rien,2,2,2,2,2,2,,0,1,2,10 ans,,
5,Matériau structure,24,Bois usine,4,2,2,2,2,3,,5000,1,2,10 ans,,
,,25,Bois revalorisé,2,4,2,3,4,2,,6000,1,2,10 ans,,
,,26,Marc café,3,4,2,2,3,2,,5000,1,2,10 ans,,
,,27,Récupération chantier,1,4,2,4,4,2,,7000,1,2,10 ans,,
,,28,carton,2,3,2,3,3,2,,500,1,0,2 semaines,,
,,29,OSB,3,3,2,3,3,2,,1000,1,1,2 ans,,
6,Qualité finition,30,brut,2,4,2,2,4,2,,0,1,1,2 ans,,
,,31,vernis,3,1,2,2,3,2,,100,1,2,10 ans,,
,,32,vernis mat,3,1,2,2,3,2,,200,1,2,10 ans,,
,,33,plaquage,4,2,2,2,4,2,,200,1,2,10 ans,,
7,Implantation,34,Indoor,2,2,3,2,3,3,,0,1,2,10 ans,,
,,35,Outdoor,2,1,3,2,2,2,,500,1,2,10 ans,,
